Date, Open, High, Low
2018-03-27, 156.31, 162.85, 150.75
2018-03-26, 160.82, 161.1, 149.02
2018-03-23, 165.44, 167.1, 159.02
2018-03-22, 166.13, 170.27, 163.72
2018-03-21, 164.8, 173.4, 163.3
2018-03-20, 167.47, 170.2, 161.95
2018-03-19, 177.01, 177.17, 170.06
2018-03-16, 184.49, 185.33, 183.41
2018-03-15, 183.24, 184.0, 182.19
2018-03-14, 182.6, 184.25, 181.85
2018-03-13, 185.61, 185.99, 181.11
2018-03-12, 185.23, 186.1, 184.22
2018-03-09, 183.91, 185.51, 183.21
2018-03-08, 183.56, 184.4, 181.45
2018-03-07, 178.74, 183.82, 178.07
2018-03-06, 181.78, 182.38, 179.11
2018-03-05, 176.2, 181.1475, 175.89
2018-03-02, 173.29, 177.11, 172.99
2018-03-01, 179.01, 180.12, 174.41
2018-02-28, 182.3, 182.88, 178.14
2018-02-27, 184.45, 184.7, 181.46
2018-02-26, 184.58, 185.66, 183.2228
2018-02-23, 179.9, 183.39, 179.51
2018-02-22, 178.7, 180.21, 177.41
2018-02-21, 176.71, 181.27, 176.4
2018-02-20, 175.77, 177.95, 175.11
2018-02-16, 178.99, 179.88, 176.3
2018-02-15, 180.5, 180.5, 176.84
2018-02-14, 173.45, 179.81, 173.2119
2018-02-13, 175.62, 175.97, 173.1
2018-02-12, 177.06, 177.545, 171.84
2018-02-09, 174.76, 176.9, 167.18
2018-02-08, 181.01, 181.84, 171.4815
2018-02-07, 184.15, 185.0817, 179.95
2018-02-06, 178.57, 185.77, 177.74
2018-02-05, 186.93, 190.61, 180.61
2018-02-02, 192.04, 194.21, 189.98
2018-02-01, 188.22, 195.32, 187.89
2018-01-31, 188.37, 189.83, 185.22
2018-01-30, 183.01, 188.18, 181.84
2018-01-29, 188.75, 188.84, 185.6301
2018-01-26, 187.75, 190.0, 186.81
2018-01-25, 187.95, 188.62, 186.6
2018-01-24, 189.89, 190.66, 186.52
2018-01-23, 186.05, 189.55, 185.55
2018-01-22, 180.8, 185.39, 180.41
2018-01-19, 180.85, 182.37, 180.1702
2018-01-18, 178.13, 180.98, 177.08
2018-01-17, 179.26, 179.32, 175.8
2018-01-16, 181.5, 181.75, 178.04
2018-01-12, 178.06, 181.48, 177.4
2018-01-11, 188.4, 188.4, 187.38
2018-01-10, 186.94, 187.89, 185.63
2018-01-09, 188.7, 188.8, 187.1
2018-01-08, 187.2, 188.9, 186.33
2018-01-05, 185.59, 186.9, 184.93
2018-01-04, 184.9, 186.21, 184.0996
2018-01-03, 181.88, 184.78, 181.33
2018-01-02, 177.68, 181.58, 177.55
2017-12-29, 178.0, 178.85, 176.46
2017-12-28, 177.95, 178.9367, 177.68
2017-12-27, 176.55, 178.44, 176.26
2017-12-26, 176.63, 177.0, 174.67
2017-12-22, 177.14, 177.53, 176.23
2017-12-21, 177.94, 178.68, 177.05
2017-12-20, 179.81, 179.81, 177.36
2017-12-19, 179.95, 180.08, 178.22
2017-12-18, 181.01, 181.3, 179.75
2017-12-15, 179.02, 180.4934, 178.36
2017-12-14, 178.29, 180.3601, 177.68
