Date, Open, High, Low
2018-03-27, 304.0, 304.27, 277.18
2018-03-26, 307.34, 307.59, 291.36
2018-03-23, 311.25, 311.61, 300.45
2018-03-22, 313.89, 318.82, 308.18
2018-03-21, 310.25, 322.44, 310.19
2018-03-20, 314.87, 316.25, 308.76
2018-03-19, 316.5, 320.75, 309.67
2018-03-16, 325.96, 327.4, 319.07
2018-03-15, 329.38, 332.85, 321.1
2018-03-14, 336.76, 339.81, 323.93
2018-03-13, 344.92, 345.12, 336.2635
2018-03-12, 328.61, 347.21, 326.5
2018-03-09, 324.1, 328.49, 322.37
2018-03-08, 332.86, 333.3, 326.274
2018-03-07, 325.44, 332.5, 321.74
2018-03-06, 333.75, 336.37, 327.03
2018-03-05, 332.39, 337.75, 329.2929
2018-03-02, 326.98, 335.22, 322.97
2018-03-01, 345.01, 348.67, 330.07
2018-02-28, 352.57, 355.24, 342.22
2018-02-27, 356.25, 359.99, 350.01
2018-02-26, 353.5, 359.0, 352.355
2018-02-23, 347.83, 354.99, 347.1
2018-02-22, 335.53, 347.44, 334.7501
2018-02-21, 336.03, 339.6929, 333.17
2018-02-20, 334.47, 340.84, 331.5
2018-02-16, 332.5, 343.12, 331.64
2018-02-15, 324.5, 334.12, 322.4
2018-02-14, 320.84, 326.17, 318.52
2018-02-13, 315.02, 324.19, 312.5105
2018-02-12, 316.13, 318.08, 306.25
2018-02-09, 319.93, 320.9845, 294.76
2018-02-08, 343.31, 348.62, 314.6
2018-02-07, 338.99, 346.0, 335.66
2018-02-06, 325.21, 336.22, 323.5
2018-02-05, 337.97, 344.47, 333.0
2018-02-02, 348.44, 351.95, 340.51
2018-02-01, 351.0, 359.66, 348.63
2018-01-31, 347.51, 356.19, 345.19
2018-01-30, 345.14, 348.27, 342.17
2018-01-29, 339.85, 350.85, 338.28
2018-01-26, 341.5, 344.0, 335.71
2018-01-25, 348.27, 349.2, 336.4
2018-01-24, 354.58, 354.75, 343.52
2018-01-23, 360.0, 360.5, 351.0
2018-01-22, 349.4, 357.83, 349.2
2018-01-19, 345.0, 350.5899, 342.6
2018-01-18, 345.67, 352.3, 343.74
2018-01-17, 340.47, 349.0, 339.75
2018-01-16, 337.54, 345.0, 334.8
2018-01-12, 338.63, 340.41, 333.67
2018-01-11, 335.24, 344.8099, 333.26
2018-01-10, 332.2, 337.0, 330.0
2018-01-09, 335.16, 338.8, 327.405
2018-01-08, 316.0, 337.0199, 315.5
2018-01-05, 316.62, 317.24, 312.0
2018-01-04, 312.87, 318.55, 305.68
2018-01-03, 321.0, 325.25, 315.55
2018-01-02, 312.0, 322.1099, 311.0
2017-12-29, 316.18, 316.41, 310.0
2017-12-28, 311.75, 315.82, 309.54
2017-12-27, 316.0, 317.68, 310.75
2017-12-26, 323.83, 323.94, 316.58
2017-12-22, 329.51, 330.9214, 324.82
2017-12-21, 329.59, 333.74, 327.21
2017-12-20, 332.69, 333.1, 325.04
2017-12-19, 340.26, 341.4925, 330.3
2017-12-18, 344.9, 346.73, 337.58
2017-12-15, 342.04, 343.9, 335.76
2017-12-14, 341.01, 347.44, 336.9
2017-12-13, 340.93, 344.22, 336.5
2017-12-12, 330.45, 341.44, 330.03
2017-12-11, 314.63, 329.01, 313.75
2017-12-08, 314.6, 316.98, 311.26
2017-12-07, 312.0, 318.6341, 311.05
2017-12-06, 300.1, 313.39, 300.0
2017-12-05, 302.0, 308.0, 301.0
2017-12-04, 306.5, 308.265, 300.61
2017-12-01, 305.44, 310.32, 305.05
2017-11-30, 308.56, 310.7, 304.54
2017-11-29, 317.3, 318.0, 301.23
2017-11-28, 316.36, 320.0, 313.92
2017-11-27, 313.25, 317.34, 309.51
2017-11-24, 313.79, 316.41, 311.0
2017-11-22, 316.77, 317.42, 311.84
2017-11-21, 310.86, 318.23, 308.71
2017-11-20, 313.79, 315.5, 304.75
2017-11-17, 325.67, 326.67, 313.15
2017-11-16, 313.99, 318.14, 311.3
2017-11-15, 306.01, 312.49, 301.5
2017-11-14, 315.0, 316.35, 306.9
2017-11-13, 300.13, 316.8, 299.11
2017-11-10, 302.5, 308.36, 301.85
2017-11-09, 302.5, 304.46, 296.3
2017-11-07, 301.02, 306.5, 300.03
2017-11-06, 307.0, 307.5, 299.01
2017-11-03, 299.5, 306.25, 295.13
2017-11-02, 300.13, 308.69, 292.63
2017-11-01, 332.25, 332.6089, 320.26
2017-10-31, 320.23, 331.95, 320.18
2017-10-30, 319.18, 323.78, 317.25
2017-10-27, 319.75, 324.59, 316.66
2017-10-26, 327.78, 330.23, 323.2
2017-10-25, 336.7, 337.5, 323.56
2017-10-24, 338.8, 342.8, 336.16
2017-10-23, 349.88, 349.95, 336.25
2017-10-20, 352.69, 354.55, 344.34
2017-10-19, 355.56, 357.1465, 348.2
2017-10-18, 355.97, 363.0, 354.13
2017-10-17, 350.91, 356.22, 350.07
2017-10-16, 353.76, 354.48, 347.16
2017-10-13, 356.98, 358.49, 353.68
2017-10-12, 352.95, 359.78, 352.64
2017-10-11, 353.89, 357.6, 351.15
2017-10-10, 346.8, 355.63, 345.5305
2017-10-09, 349.65, 351.75, 342.67
2017-10-06, 353.1, 360.0992, 352.25
2017-10-05, 356.0, 357.435, 351.35
2017-10-04, 351.25, 358.62, 349.6
