Date, Open, High, Low
2018-03-27, 31.85, 31.9, 27.88
2018-03-26, 31.69, 32.47, 30.7
2018-03-23, 31.26, 32.0, 30.7907
2018-03-22, 31.77, 32.13, 31.175
2018-03-21, 32.19, 33.15, 32.05
2018-03-20, 34.92, 34.95, 30.61
2018-03-19, 35.13, 35.74, 34.41
2018-03-16, 36.0, 36.2, 35.52
2018-03-15, 36.41, 36.48, 35.4
2018-03-14, 34.3, 36.8, 34.09
2018-03-13, 35.4, 35.53, 33.9
2018-03-12, 35.53, 35.73, 34.83
2018-03-09, 35.2, 35.5, 34.9367
2018-03-08, 35.42, 35.84, 34.68
2018-03-07, 33.99, 35.82, 33.99
2018-03-06, 34.58, 34.95, 33.86
2018-03-05, 32.9, 34.95, 32.58
2018-03-02, 31.93, 33.03, 31.49
2018-03-01, 31.95, 32.56, 31.26
2018-02-28, 31.5, 32.85, 31.47
2018-02-27, 31.91, 32.21, 31.26
2018-02-26, 32.7, 32.7, 31.96
2018-02-23, 32.2, 32.69, 31.97
2018-02-22, 33.43, 33.45, 31.63
2018-02-21, 33.03, 34.055, 32.6472
2018-02-20, 32.88, 33.57, 32.68
2018-02-16, 33.37, 33.5, 32.68
2018-02-15, 34.03, 34.38, 33.0599
2018-02-14, 32.85, 33.98, 32.55
2018-02-13, 30.67, 33.65, 30.64
2018-02-12, 31.44, 31.9, 30.8631
2018-02-09, 30.37, 31.805, 29.68
2018-02-08, 34.15, 35.0, 29.71
2018-02-07, 25.83, 27.08, 25.76
2018-02-06, 24.59, 25.58, 24.2
2018-02-05, 25.37, 26.64, 24.1
2018-02-02, 26.56, 27.0301, 25.7
2018-02-01, 25.52, 27.33, 25.44
2018-01-31, 25.61, 26.65, 25.14
2018-01-30, 24.83, 26.4, 24.55
2018-01-29, 24.4, 25.55, 24.1
2018-01-26, 22.39, 24.35, 22.3
2018-01-25, 22.5, 22.68, 22.04
2018-01-24, 22.84, 23.05, 22.1
2018-01-23, 22.51, 23.1691, 22.41
2018-01-22, 23.17, 23.5, 22.86
2018-01-19, 24.12, 24.22, 23.5
2018-01-18, 24.5, 24.52, 23.72
2018-01-17, 24.84, 24.95, 24.22
2018-01-16, 25.58, 25.7089, 24.51
