Date, Open, High, Low
2018-03-27, 1063.9, 1064.54, 997.62
2018-03-26, 1050.6, 1059.27, 1010.58
2018-03-23, 1051.37, 1066.78, 1024.87
2018-03-22, 1080.01, 1083.92, 1049.64
2018-03-21, 1092.57, 1108.7, 1087.21
2018-03-20, 1098.4, 1105.55, 1082.42
2018-03-19, 1117.76, 1119.37, 1088.92
2018-03-16, 1155.35, 1156.81, 1131.36
2018-03-15, 1149.57, 1162.5, 1135.66
2018-03-14, 1145.8, 1159.76, 1142.35
2018-03-13, 1171.83, 1178.0, 1134.57
2018-03-12, 1165.05, 1178.16, 1159.2
2018-03-09, 1139.5, 1161.0, 1134.29
2018-03-08, 1117.2, 1131.44, 1117.2
2018-03-07, 1092.82, 1116.2, 1089.91
2018-03-06, 1102.1, 1105.63, 1094.5
2018-03-05, 1078.13, 1101.18, 1072.27
2018-03-02, 1057.98, 1086.89, 1050.11
2018-03-01, 1109.54, 1111.27, 1067.29
2018-02-28, 1122.0, 1127.65, 1103.0
2018-02-27, 1143.7, 1144.25, 1116.79
2018-02-26, 1131.86, 1144.2, 1129.34
2018-02-23, 1118.66, 1129.0, 1108.44
2018-02-22, 1119.17, 1125.46, 1105.15
2018-02-21, 1109.1, 1136.2, 1107.51
2018-02-20, 1092.76, 1116.29, 1090.0
2018-02-16, 1093.38, 1108.31, 1091.55
2018-02-15, 1083.45, 1094.1, 1067.23
2018-02-14, 1054.32, 1075.47, 1049.8
2018-02-13, 1050.0, 1061.22, 1046.92
2018-02-12, 1056.67, 1065.57, 1045.49
2018-02-09, 1025.88, 1051.72, 997.0
2018-02-08, 1059.87, 1063.93, 1005.12
2018-02-07, 1084.97, 1086.53, 1054.62
2018-02-06, 1033.98, 1087.38, 1030.01
2018-02-05, 1100.61, 1114.99, 1056.74
2018-02-02, 1127.42, 1131.3, 1111.17
2018-02-01, 1175.99, 1187.45, 1169.36
2018-01-31, 1183.81, 1186.32, 1172.1
2018-01-30, 1177.72, 1187.93, 1174.51
2018-01-29, 1188.0, 1198.0, 1184.06
2018-01-26, 1187.53, 1187.56, 1168.03
2018-01-25, 1180.71, 1185.0, 1171.84
2018-01-24, 1184.98, 1187.05, 1167.4
2018-01-23, 1170.62, 1178.51, 1167.25
2018-01-22, 1143.82, 1166.88, 1141.82
2018-01-19, 1138.03, 1143.78, 1132.5
2018-01-18, 1139.35, 1140.59, 1124.46
2018-01-17, 1136.36, 1139.32, 1123.49
2018-01-16, 1140.31, 1148.88, 1126.66
2018-01-12, 1110.1, 1131.3, 1108.01
2018-01-11, 1112.31, 1114.85, 1106.48
2018-01-10, 1107.0, 1112.78, 1103.98
2018-01-09, 1118.44, 1118.44, 1108.2
2018-01-08, 1111.0, 1119.16, 1110.0
2018-01-05, 1103.45, 1113.58, 1101.8
2018-01-04, 1097.09, 1104.08, 1094.26
2018-01-03, 1073.93, 1096.1, 1073.43
2018-01-02, 1053.02, 1075.98, 1053.02
2017-12-29, 1055.49, 1058.05, 1052.7
2017-12-28, 1062.25, 1064.84, 1053.38
2017-12-27, 1066.6, 1068.27, 1058.38
2017-12-26, 1068.64, 1068.86, 1058.64
2017-12-22, 1070.0, 1071.72, 1067.64
2017-12-21, 1075.39, 1077.52, 1069.0
2017-12-20, 1080.92, 1081.23, 1068.6
2017-12-19, 1083.02, 1084.97, 1072.27
2017-12-18, 1076.45, 1086.49, 1070.37
2017-12-15, 1063.78, 1075.25, 1060.09
2017-12-14, 1055.49, 1067.08, 1053.6
2017-12-13, 1052.08, 1055.48, 1046.58
2017-12-12, 1050.0, 1062.5, 1044.87
2017-12-11, 1051.11, 1056.0, 1044.12
2017-12-08, 1051.81, 1056.42, 1045.86
2017-12-07, 1036.07, 1048.92, 1035.36
2017-12-06, 1016.52, 1039.58, 1015.31
2017-12-05, 1010.99, 1036.68, 1002.32
2017-12-04, 1027.8, 1031.34, 1009.22
2017-12-01, 1030.41, 1037.24, 1016.9
2017-11-30, 1039.94, 1044.14, 1030.07
