Date, Open, High, Low
2018-03-27, 47.1, 47.9024, 46.84
2018-03-26, 46.78, 47.17, 46.585
2018-03-23, 47.06, 47.455, 46.2
2018-03-22, 47.1, 47.5199, 46.77
2018-03-21, 47.69, 47.96, 47.27
2018-03-20, 48.4, 48.59, 47.58
2018-03-19, 48.53, 48.61, 48.12
2018-03-16, 48.41, 48.775, 48.215
2018-03-15, 48.53, 48.765, 48.14
2018-03-14, 48.93, 49.1, 48.355
2018-03-13, 49.0, 49.26, 48.5
2018-03-12, 49.03, 49.26, 48.67
2018-03-09, 49.2, 49.23, 48.35
2018-03-08, 48.89, 49.03, 48.32
2018-03-07, 48.54, 49.21, 48.46
2018-03-06, 48.75, 48.89, 48.3
2018-03-05, 48.15, 48.94, 48.02
2018-03-02, 47.83, 48.325, 47.76
2018-03-01, 47.69, 48.6, 47.51
2018-02-28, 48.76, 48.96, 47.72
2018-02-27, 49.02, 49.17, 48.04
2018-02-26, 48.72, 49.15, 48.45
2018-02-23, 48.09, 48.3, 47.535
2018-02-22, 48.25, 48.7, 47.78
2018-02-21, 48.8, 48.86, 47.94
2018-02-20, 49.84, 49.89, 48.76
2018-02-16, 49.69, 50.455, 49.69
2018-02-15, 49.55, 49.78, 48.95
2018-02-14, 49.76, 50.1, 49.32
2018-02-13, 49.91, 50.26, 49.17
2018-02-12, 50.22, 50.66, 49.58
2018-02-09, 49.6, 50.3, 48.37
2018-02-08, 50.89, 51.08, 49.0
2018-02-07, 50.63, 51.93, 50.5
2018-02-06, 49.44, 51.0, 49.07
2018-02-05, 52.52, 53.19, 50.5
2018-02-02, 54.27, 54.27, 52.9
2018-02-01, 54.49, 54.75, 54.01
2018-01-31, 53.99, 54.4199, 53.53
2018-01-30, 54.3, 54.5, 53.79
2018-01-29, 53.58, 54.58, 53.4
2018-01-26, 54.49, 54.75, 54.34
2018-01-25, 54.28, 54.77, 54.01
2018-01-24, 53.82, 54.44, 53.5
2018-01-23, 54.6, 54.6, 52.81
2018-01-22, 52.05, 53.49, 52.01
2018-01-19, 51.74, 51.92, 51.155
2018-01-18, 51.9, 53.3, 51.385
2018-01-17, 51.81, 51.9, 51.21
2018-01-16, 51.68, 52.02, 51.42
2018-01-12, 51.94, 52.24, 51.7801
2018-01-11, 51.89, 52.175, 51.64
2018-01-10, 51.39, 51.73, 51.15
2018-01-09, 52.12, 52.435, 51.55
2018-01-08, 52.56, 52.75, 52.04
2018-01-05, 52.8, 52.88, 52.35
2018-01-04, 52.37, 52.89, 51.83
2018-01-03, 53.3, 53.34, 52.18
2018-01-02, 53.16, 53.57, 52.8
2017-12-29, 53.37, 53.46, 52.93
2017-12-28, 53.41, 53.55, 53.16
2017-12-27, 53.41, 53.5, 53.09
2017-12-26, 53.13, 53.69, 53.13
2017-12-22, 53.1, 53.63, 53.06
2017-12-21, 52.92, 53.6, 52.605
2017-12-20, 53.13, 53.35, 52.68
2017-12-19, 53.4, 53.59, 52.695
2017-12-18, 52.95, 53.39, 52.66
2017-12-15, 52.56, 52.89, 52.39
2017-12-14, 52.469, 52.74, 52.085
2017-12-13, 52.99, 53.19, 52.28
2017-12-12, 52.35, 53.34, 52.33
2017-12-11, 51.22, 51.93, 50.97
2017-12-08, 50.5, 51.175, 50.36
2017-12-07, 50.59, 50.74, 50.2
2017-12-06, 50.65, 50.8399, 50.24
2017-12-05, 51.75, 51.89, 50.78
2017-12-04, 51.52, 52.33, 51.5
2017-12-01, 50.9, 51.545, 50.33
2017-11-30, 50.0, 51.0944, 49.99
2017-11-29, 48.84, 50.49, 48.84
2017-11-28, 47.7, 48.84, 47.53
2017-11-27, 47.37, 47.9, 47.35
2017-11-24, 47.06, 47.18, 46.845
2017-11-22, 46.25, 47.42, 46.24
2017-11-21, 46.34, 46.4468, 46.01
2017-11-20, 45.8, 46.35, 45.5
2017-11-17, 44.63, 45.77, 44.62
2017-11-16, 44.21, 44.88, 44.11
2017-11-15, 44.33, 44.38, 43.965
2017-11-14, 44.69, 44.85, 44.15
2017-11-13, 44.92, 45.08, 44.7
2017-11-10, 45.11, 45.11, 44.75
2017-11-09, 45.29, 45.43, 44.81
2017-11-07, 45.21, 45.5878, 44.68
2017-11-06, 46.31, 46.35, 44.84
2017-11-03, 47.66, 47.74, 47.235
2017-11-02, 47.88, 47.94, 47.18
